2018/01/05, 1.608, 0.027,
2018/01/06, 2.093, 0.0274,
2018/01/07, 1.999, 0.0297,
2018/01/08, 2.181, 0.0277,
2018/01/09, 2.25, 0.0274,
2018/01/10, 3.137, 0.0288,
2018/01/11, 2.547, 0.0291,
2018/01/12, 1.558, 0.021,
2018/01/13, 2.078, 0.107,
2018/01/14, 1.765, 0.126,
2018/01/15, 1.455, 0.139,
2018/01/16, 1.239, 0.0233,
2018/01/17, 1.023, 0.032,
2018/01/18, 1.252, 0.0326,
2018/01/19, 1.147, 0.0178,
2018/01/20, 1.181, 0.0135,
2018/01/21, 1.118, 0.0184,
2018/01/22, 0.648, 0.0166,
2018/01/23, 0.848, 0.0179,
2018/01/24, 0.853, 0.011,
2018/01/25, 0.804, 0.00995,
2018/01/26, 0.441, 0.0131,
2018/01/27, 0.454, 0.011,
2018/01/28, 0.499, 0.0164,
2018/01/29, 0.9, 0.0169,
2018/01/30, 0.527, 0.0183,
2018/01/31, 0.508, 0.0336,
2018/02/01, 1.05, 0.0158,
2018/02/02, 0.684, 0.0133,
2018/02/03, 0.567, 0.0089,
2018/02/04, 0.419, 0.00819,
2018/02/05, 0.326, 0.0103,
2018/02/06, 0.314, 0.00844,
2018/02/07, 0.42, 0.00661,
2018/02/08, 0.342, 0.0128,
2018/02/09, 0.35, 0.00938,
2018/02/10, 0.366, 0.0144,
2018/02/11, 0.347, 0.0086,
2018/02/12, 0.36, 0.00885,
2018/02/13, 0.356, 0.0131,
2018/02/14, 0.372, 0.00868,
2018/02/15, 0.392, 0.00529,
2018/02/16, 0.393, 0.00795,
2018/02/17, 0.406, 0.00801,
2018/02/18, 0.496, 0.0146,
2018/02/19, 0.395, 0.0116,
2018/02/20, 0.395, 0.0145,
2018/02/21, 0.299, 0.0135,
2018/02/22, 0.245, 0.00841,
2018/02/23, 0.32, 0.0119,
2018/02/24, 0.356, 0.00824,
2018/02/25, 0.3, 0.00872,
2018/02/26, 0.257, 0.00272,
2018/02/27, 0.262, 0.0084,
2018/02/28, 0.366, 0.00596,
2018/03/01, 0.313, 0.00569,
2018/03/02, 0.363, 0.00666,
2018/03/03, 0.254, 0.00667,
2018/03/04, 0.359, 0.00652,
2018/03/05, 0.362, 0.00256,
2018/03/06, 0.347, 0.0064,
2018/03/07, 0.329, 0.00524,
2018/03/08, 0.25, 0.00417,
2018/03/09, 0.189, 0.00447,
2018/03/10, 0.152, 0.00409,
2018/03/11, 0.144, 0.0043,
2018/03/12, 0.147, 0.00638,
2018/03/13, 0.111, 0.00477,
2018/03/14, 0.101, 0.00386,
2018/03/15, 0.108, 0.00359,
2018/03/16, 0.112, 0.00384,
2018/03/17, 0.0937, 0.0038,
2018/03/18, 0.105, 0.00407,
2018/03/19, 0.0818, 0.00493,
2018/03/20, 0.0913, 0.00404,
2018/03/21, 0.0893, 0.00476,
2018/03/22, 0.0809, 0.00469,
2018/03/23, 0.088, 0.00449,
2018/03/24, 0.0657, 0.00459,
2018/03/25, 0.0691, 0.00443,
2018/03/26, 0.084, 0.00424,
2018/03/27, 0.0687, 0.00271,
2018/03/28, 0.0722, 0.00175,
2018/03/29, 0.062, 0.00233,
2018/03/30, 0.0415, 0.00207,
2018/03/31, 0.0422, 0.00211,
2018/04/01, 0.0404, 0.00248,
2018/04/02, 0.0409, 0.00173,
2018/04/03, 0.0426, 0.00264,
2018/04/04, 0.0411, 0.00198,
2018/04/05, 0.0419, 0.00192,
2018/04/06, 0.0316, 0.00186,
2018/04/07, 0.0322, 0.00186,
2018/04/08, 0.0332, 0.00244,
2018/04/09, 0.0348, 0.00277,
2018/04/10, 0.0356, 0.00291,
2018/04/11, 0.0441, 0.00301,
2018/04/12, 0.0473, 0.00318,
2018/04/13, 0.0547, 0.00328,
2018/04/14, 0.0459, 0.00284,
2018/04/15, 0.0514, 0.00226,
2018/04/16, 0.0563, 0.00208,
2018/04/17, 0.044, 0.00289,
2018/04/18, 0.0648, 0.00311,
2018/04/19, 0.0589, 0.00345,
2018/04/20, 0.0845, 0.00306,
2018/04/21, 0.0634, 0.00349,
2018/04/22, 0.068, 0.00324,
2018/04/23, 0.0713, 0.00523,
2018/04/24, 0.106, 0.00573,
2018/04/25, 0.117, 0.00495,
2018/04/26, 0.116, 0.0051,
2018/04/27, 0.14, 0.00521,
2018/04/28, 0.142, 0.00519,
2018/04/29, 0.176, 0.00406,
2018/04/30, 0.179, 0.00523,
2018/05/01, 0.137, 0.00412,
2018/05/02, 0.141, 0.00444,
2018/05/03, 0.155, 0.00422,
2018/05/04, 0.132, 0.0056,
2018/05/05, 0.148, 0.00614,
2018/05/06, 0.117, 0.00649,
2018/05/07, 0.108, 0.00626,
2018/05/08, 0.133, 0.00604,
2018/05/09, 0.186, 0.00592,
2018/05/10, 0.291, 0.0062,
2018/05/11, 0.256, 0.00547,
2018/05/12, 0.153, 0.00534,
2018/05/13, 0.22, 0.00544,
2018/05/14, 0.299, 0.00541,
2018/05/15, 0.316, 0.00533,
2018/05/16, 0.292, 0.00476,
2018/05/17, 0.317, 0.00486,
2018/05/18, 0.306, 0.00463,
2018/05/19, 0.26, 0.00452,
2018/05/20, 0.28, 0.00499,
2018/05/21, 0.296, 0.0048,
2018/05/22, 0.329, 0.00452,
2018/05/23, 0.276, 0.00406,
2018/05/24, 0.271, 0.00398,
2018/05/25, 0.25, 0.00395,
2018/05/26, 0.222, 0.00392,
2018/05/27, 0.193, 0.00381,
2018/05/28, 0.261, 0.0036,
2018/05/29, 0.293, 0.0036,
2018/05/30, 0.31, 0.0038,
2018/05/31, 0.369, 0.0038,
2018/06/01, 0.339, 0.00377,
2018/06/02, 0.238, 0.00392,
2018/06/03, 0.247, 0.00434,
2018/06/04, 0.289, 0.00434,
2018/06/05, 0.263, 0.00421,
2018/06/06, 0.281, 0.00424,
2018/06/07, 0.256, 0.00438,
2018/06/08, 0.228, 0.00428,
2018/06/09, 0.161, 0.00428,
2018/06/10, 0.132, 0.00683,
2018/06/11, 0.133, 0.00488,
2018/06/12, 0.144, 0.00353,
2018/06/13, 0.155, 0.00325,
2018/06/14, 0.181, 0.00333,
2018/06/15, 0.211, 0.00325,
2018/06/16, 0.104, 0.00283,
2018/06/17, 0.0689, 0.00327,
2018/06/18, 0.0948, 0.00326,
2018/06/19, 0.144, 0.00341,
2018/06/20, 0.111, 0.00337,
2018/06/21, 0.11, 0.00885,
2018/06/22, 0.0902, 0.00307,
2018/06/23, 0.0487, 0.0029,
2018/06/24, 0.055, 0.0027,
2018/06/25, 0.125, 0.0029,
2018/06/26, 0.0829, 0.00282,
2018/06/27, 0.0797, 0.00264,
2018/06/28, 0.066, 0.00262,
2018/06/29, 0.0701, 0.0025,
2018/06/30, 0.34, 0.00186,
2018/07/01, 0.9, 0.00142,
2018/07/02, 1.046, 0.00145,
2018/07/03, 1.231, 0.00204,
2018/07/04, 0.725, 0.00213,
2018/07/05, 0.61, 0.00196,
2018/07/06, 0.981, 0.00202,
2018/07/07, 0.888, 0.0019,
2018/07/08, 0.48, 0.002,
2018/07/09, 0.324, 0.00195,
2018/07/10, 0.233, 0.00213,
2018/07/11, 0.203, 0.00182,
2018/07/12, 0.349, 0.00179,
2018/07/13, 0.398, 0.00182,
2018/07/14, 0.741, 0.00181,
2018/07/15, 0.466, 0.00187,
2018/07/16, 0.146, 0.00198,
2018/07/17, 0.111, 0.00211,
2018/07/18, 0.114, 0.00223,
2018/07/19, 0.0759, 0.00246,
2018/07/20, 0.116, 0.00249,
2018/07/21, 0.125, 0.00241,
2018/07/22, 0.0528, 0.00207,
2018/07/23, 0.135, 0.0021,
2018/07/24, 0.0818, 0.00217,
2018/07/25, 0.0679, 0.0022,
2018/07/26, 0.0621, 0.00312,
2018/07/27, 0.0432, 0.00303,
2018/07/28, 0.0373, 0.00213,
2018/07/29, 0.0294, 0.00215,
2018/07/30, 0.0385, 0.00357,
2018/07/31, 0.0369, 0.00242,
2018/08/01, 0.0354, 0.00219,
2018/08/02, 0.035, 0.00195,
2018/08/03, 0.0505, 0.00203,
2018/08/04, 0.0345, 0.0032,
2018/08/05, 0.0341, 0.00262,
2018/08/06, 0.0446, 0.00261,
2018/08/07, 0.153, 0.00198,
2018/08/08, 0.6, 0.002,
2018/08/09, 0.547, 0.0018,
2018/08/10, 0.307, 0.00191,
2018/08/11, 0.0801, 0.00128,
2018/08/12, 0.0595, 0.00149,
2018/08/13, 0.062, 0.00185,
2018/08/14, 0.064, 0.00128,
2018/08/15, 0.0909, 0.00128,
2018/08/16, 0.0597, 0.00135,
2018/08/17, 0.237, 0.00123,
2018/08/18, 0.0627, 0.00149,
2018/08/19, 0.0312, 0.00118,
2018/08/20, 0.0312, 0.00144,
2018/08/21, 0.0441, 0.00137,
2018/08/22, 0.0582, 0.00141,
2018/08/23, 0.0459, 0.00136,
2018/08/24, 0.0582, 0.00138,
2018/08/25, 0.032, 0.00139,
2018/08/26, 0.0351, 0.00136,
2018/08/27, 0.048, 0.00138,
2018/08/28, 0.0503, 0.00144,
2018/08/29, 0.0668, 0.00145,
2018/08/30, 0.056, 0.0014,
2018/08/31, 0.0612, 0.0014,
2018/09/01, 0.0488, 0.00151,
2018/09/02, 0.0421, 0.00166,
2018/09/03, 0.0426, 0.00133,
2018/09/04, 0.058, 0.00133,
2018/09/05, 0.0464, 0.00123,
2018/09/06, 0.0568, 0.00106,
2018/09/07, 0.0582, 0.00132,
2018/09/08, 0.055, 0.00128,
2018/09/09, 0.0531, 0.00125,
2018/09/10, 0.0495, 0.00124,
2018/09/11, 0.0557, 0.00119,
2018/09/12, 0.0564, 0.00149,
2018/09/13, 0.0686, 0.00171,
2018/09/14, 0.0591, 0.00119,
2018/09/15, 0.0612, 0.00235,
2018/09/16, 0.0548, 0.00115,
2018/09/17, 0.061, 0.00168,
2018/09/18, 0.0645, 0.00111,
2018/09/19, 0.0905, 0.00112,
2018/09/20, 0.0789, 0.00112,
2018/09/21, 0.0966, 0.00124,
2018/09/22, 0.0714, 0.00126,
2018/09/23, 0.0611, 0.00127,
2018/09/24, 0.0829, 0.00125,
2018/09/25, 0.0806, 0.00115,
2018/09/26, 0.0898, 0.00122,
2018/09/27, 0.0919, 0.00143,
2018/09/28, 0.0999, 0.00143,
2018/09/29, 0.109, 0.00139,
2018/09/30, 0.094, 0.00242,
2018/10/01, 0.104, 0.00139,
2018/10/02, 0.109, 0.0014,
2018/10/03, 0.0601, 0.00194,
2018/10/04, 0.0601, 0.00196,
2018/10/05, 0.0515, 0.00173,
2018/10/06, 0.0234, 0.00167,
2018/10/07, 0.0395, 0.00134,
2018/10/08, 0.0672, 0.00137,
2018/10/09, 0.0515, 0.00201,
